"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"NUMBER OF DAYS ONLINE","CO2, MSCF","SULFUR, LONG TONS","PRODUCTION DATE","OIL, BARRELS","GAS, MSCF","WATER, BARRELS","PRODUCING UNIT NAME"
"=""35037286040000""","Stroud Prue Sand Unit Tr 14(webb 1-8)",8,"Rover Operating Llc",OK,Creek,,,,2009-09-01,0,0,,"Stroud Prue Sand Unit Tr 14(webb 1-8)"
"=""35037286040000""","Stroud Prue Sand Unit Tr 14(webb 1-8)",8,"Rover Operating Llc",OK,Creek,,,,2009-03-01,0,0,,"Stroud Prue Sand Unit Tr 14(webb 1-8)"
"=""35037286630000""","David Cook",1-18,"Huntington Energy Llc",OK,Creek,,,,2009-10-01,0,3833,,"David Cook"
"=""35037286630000""","David Cook",1-18,"Huntington Energy Llc",OK,Creek,,,,2009-09-01,0,3906,,"David Cook"
"=""35037286630000""","David Cook",1-18,"Huntington Energy Llc",OK,Creek,,,,2009-07-01,0,4142,,"David Cook"
"=""35037286630000""","David Cook",1-18,"Huntington Energy Llc",OK,Creek,,,,2009-03-01,0,5574,,"David Cook"
"=""35037286720000""",Chapley,2-11,"Bluebonnet Oil Llc",OK,Creek,,,,2009-08-01,0,660,,Chapley
"=""35037286720000""",Chapley,2-11,"Bluebonnet Oil Llc",OK,Creek,,,,2009-02-01,0,1440,,Chapley
"=""35037286770000""",Vickrey,1,"Huntington Energy Llc",OK,Creek,,,,2009-12-01,0,825,,Vickrey
"=""35037286770000""",Vickrey,1,"Huntington Energy Llc",OK,Creek,,,,2009-11-01,0,899,,Vickrey
"=""35037286770000""",Vickrey,1,"Huntington Energy Llc",OK,Creek,,,,2009-09-01,0,950,,Vickrey
"=""35037286800000""",Cantrell,1,"Huntington Energy Llc",OK,Creek,,,,2009-10-01,0,638,,Cantrell
"=""35037286800000""",Cantrell,1,"Huntington Energy Llc",OK,Creek,,,,2009-09-01,0,658,,Cantrell
"=""35037286800000""",Cantrell,1,"Huntington Energy Llc",OK,Creek,,,,2009-06-01,0,583,,Cantrell
"=""35037286800000""",Cantrell,1,"Huntington Energy Llc",OK,Creek,,,,2009-02-01,0,611,,Cantrell
"=""35037286810000""","Stroud Prue Sand Unit Tr 3 (cantrell 1-4)",9,"Rover Operating Llc",OK,Creek,,,,2009-12-01,0,0,,"Stroud Prue Sand Unit Tr 3 (cantrell 1-4)"
"=""35037286810000""","Stroud Prue Sand Unit Tr 3 (cantrell 1-4)",9,"Rover Operating Llc",OK,Creek,,,,2009-08-01,0,0,,"Stroud Prue Sand Unit Tr 3 (cantrell 1-4)"
"=""35037286810000""","Stroud Prue Sand Unit Tr 3 (cantrell 1-4)",9,"Rover Operating Llc",OK,Creek,,,,2009-04-01,0,0,,"Stroud Prue Sand Unit Tr 3 (cantrell 1-4)"
"=""35037286880000""",Pearman,1,"Huntington Energy Llc",OK,Creek,,,,2009-12-01,0,295,,Pearman
"=""35037286880000""",Pearman,1,"Huntington Energy Llc",OK,Creek,,,,2009-11-01,0,307,,Pearman
"=""35037286880000""",Pearman,1,"Huntington Energy Llc",OK,Creek,,,,2009-09-01,0,295,,Pearman
"=""35037286880000""",Pearman,1,"Huntington Energy Llc",OK,Creek,,,,2009-08-01,0,350,,Pearman
"=""35037286950000""",Florine,2-6,"Jec Operating Llc",OK,Creek,,,,2009-07-01,0,462,,Florine
