"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"INJECTION DATE","INJECTED FLUID","INJECTED VOLUME","INJECTED VOLUME UNITS","TOP OF INJECTION INTERVAL, FEET","BOTTOM OF INJECTION INTERVAL, FEET","INJECTION UNIT NAME"
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-03-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-01-01,Water,0,BBL,2066,2110,Annaco
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2014-07-01,Water,0,BBL,2750,2850,Dowdy
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2014-06-01,Water,0,BBL,2750,2850,Dowdy
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2014-05-01,Water,0,BBL,2750,2850,Dowdy
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2014-03-01,Water,0,BBL,2750,2850,Dowdy
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2014-02-01,Water,0,BBL,2750,2850,Dowdy
"=""35037263070000""",Gullen-kernal,1,"Tidewater Operating Co Inc",OK,Creek,2014-10-01,Water,9110,BBL,3386,3499,Gullen-kernal
"=""35037263070000""",Gullen-kernal,1,"Tidewater Operating Co Inc",OK,Creek,2014-06-01,Water,19564,BBL,3386,3499,Gullen-kernal
"=""35037263140000""",Garrett,1,"Inland Oil Corporation",OK,Creek,2014-12-01,Water,3010,BBL,1880,1950,Garrett
"=""35037263140000""",Garrett,1,"Inland Oil Corporation",OK,Creek,2014-06-01,Water,2105,BBL,1880,1950,Garrett
"=""35037263140000""",Garrett,1,"Inland Oil Corporation",OK,Creek,2014-04-01,Water,2430,BBL,1880,1950,Garrett
"=""35037263140000""",Garrett,1,"Inland Oil Corporation",OK,Creek,2014-03-01,Water,3025,BBL,1880,1950,Garrett
"=""35037263140000""",Garrett,1,"Inland Oil Corporation",OK,Creek,2014-02-01,Water,3105,BBL,1880,1950,Garrett
"=""35037263230000""",Beam,8,"Cardinal Oil Llc",OK,Creek,2014-02-01,Water,0,BBL,810,823,Beam
"=""35037264650000""","Texaco-kerr Mcgee B",1,"Rover Operating Llc",OK,Creek,2014-04-01,Water,0,BBL,2840,2920,"Texaco-kerr Mcgee B"
"=""35037231610000""","Shelton Ponder Dutcher Sand U",3511-w,"Holloway David A",OK,Creek,2014-12-01,Water,0,BBL,2504,2524,"Shelton Ponder Dutcher Sand U"
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-11-01,Water,4500,BBL,2370,2410,"Wortman ""a"""
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-07-01,Water,4650,BBL,2370,2410,"Wortman ""a"""
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-06-01,Water,4500,BBL,2370,2410,"Wortman ""a"""
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-05-01,Water,4650,BBL,2370,2410,"Wortman ""a"""
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-03-01,Water,4650,BBL,2370,2410,"Wortman ""a"""
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-01-01,Water,4650,BBL,2370,2410,"Wortman ""a"""
"=""35037236250000""","Kdsu (tiger #3)",W-2,"Cornelius Oil Inc",OK,Creek,2014-12-01,Water,0,BBL,2685,2699,"Kdsu (tiger #3)"
"=""35037236250000""","Kdsu (tiger #3)",W-2,"Cornelius Oil Inc",OK,Creek,2014-03-01,Water,0,BBL,2685,2699,"Kdsu (tiger #3)"
"=""35037236250000""","Kdsu (tiger #3)",W-2,"Cornelius Oil Inc",OK,Creek,2014-02-01,Water,0,BBL,2685,2699,"Kdsu (tiger #3)"
"=""35037236380000""","Vance, Ben",33,"Berexco Llc",OK,Creek,2014-11-01,Water,125850,BBL,2590,3050,"Vance, Ben"
"=""35037236380000""","Vance, Ben",33,"Berexco Llc",OK,Creek,2014-09-01,Water,127870,BBL,2590,3050,"Vance, Ben"
"=""35037236380000""","Vance, Ben",33,"Berexco Llc",OK,Creek,2014-05-01,Water,131440,BBL,2590,3050,"Vance, Ben"
"=""35037236380000""","Vance, Ben",33,"Berexco Llc",OK,Creek,2014-04-01,Water,126480,BBL,2590,3050,"Vance, Ben"
"=""35037234910000""","Kdsu (kdsu #9 Cornelius #1)",W-4,"Cornelius Oil Inc",OK,Creek,2014-12-01,Water,0,BBL,2666,2684,"Kdsu (kdsu #9 Cornelius #1)"
"=""35037234910000""","Kdsu (kdsu #9 Cornelius #1)",W-4,"Cornelius Oil Inc",OK,Creek,2014-10-01,Water,0,BBL,2666,2684,"Kdsu (kdsu #9 Cornelius #1)"
"=""35037234910000""","Kdsu (kdsu #9 Cornelius #1)",W-4,"Cornelius Oil Inc",OK,Creek,2014-08-01,Water,0,BBL,2666,2684,"Kdsu (kdsu #9 Cornelius #1)"
"=""35037234980000""",Willis,1,"Spess Oil Company Inc",OK,Creek,2014-12-01,Water,1647,BBL,2646,2664,Willis
"=""35037235090000""",Fife,1,"Spess Oil Company Inc",OK,Creek,2014-12-01,Water,0,BBL,2584,2592,Fife
"=""35037235090000""",Fife,1,"Spess Oil Company Inc",OK,Creek,2014-07-01,Water,0,BBL,2584,2592,Fife
"=""35037235090000""",Fife,1,"Spess Oil Company Inc",OK,Creek,2014-02-01,Water,0,BBL,2584,2592,Fife
"=""35037235960000""","Way, Vida M.",27,"Berexco Llc",OK,Creek,2014-11-01,Water,89400,BBL,2550,3000,"Way, Vida M."
"=""35037235960000""","Way, Vida M.",27,"Berexco Llc",OK,Creek,2014-06-01,Water,86400,BBL,2550,3000,"Way, Vida M."
"=""35037235960000""","Way, Vida M.",27,"Berexco Llc",OK,Creek,2014-03-01,Water,88071,BBL,2550,3000,"Way, Vida M."
"=""35037235960000""","Way, Vida M.",27,"Berexco Llc",OK,Creek,2014-01-01,Water,85622,BBL,2550,3000,"Way, Vida M."
"=""35037236010000""",Corbin,1a,"Holloway David A",OK,Creek,2014-11-01,Water,0,BBL,1892,1932,Corbin
"=""35037236010000""",Corbin,1a,"Holloway David A",OK,Creek,2014-09-01,Water,0,BBL,1892,1932,Corbin
"=""35037236010000""",Corbin,1a,"Holloway David A",OK,Creek,2014-07-01,Water,0,BBL,1892,1932,Corbin
"=""35037236010000""",Corbin,1a,"Holloway David A",OK,Creek,2014-03-01,Water,0,BBL,1892,1932,Corbin
"=""35037236750000""",Hawk,2,"Earnhardt William R Company",OK,Creek,2014-12-01,Water,1800,BBL,2539,3000,Hawk
"=""35037236750000""",Hawk,2,"Earnhardt William R Company",OK,Creek,2014-08-01,Water,1800,BBL,2539,3000,Hawk
"=""35037237910000""",Mcanulty,1,"Pinnacle Operating Company Llc",OK,Creek,2014-10-01,Water,0,BBL,2826,2854,Mcanulty
"=""35037237910000""",Mcanulty,1,"Pinnacle Operating Company Llc",OK,Creek,2014-09-01,Water,0,BBL,2826,2854,Mcanulty
"=""35037237910000""",Mcanulty,1,"Pinnacle Operating Company Llc",OK,Creek,2014-06-01,Water,0,BBL,2826,2854,Mcanulty
"=""35037237910000""",Mcanulty,1,"Pinnacle Operating Company Llc",OK,Creek,2014-05-01,Water,0,BBL,2826,2854,Mcanulty
"=""35037237930000""",Amroy,3,"Pinnacle Operating Company Llc",OK,Creek,2014-04-01,Water,0,BBL,2872,2900,Amroy
"=""35037237930000""",Amroy,3,"Pinnacle Operating Company Llc",OK,Creek,2014-01-01,Water,0,BBL,2872,2900,Amroy
"=""35037238100000""",Hawk,1,"Earnhardt William R Company",OK,Creek,2014-11-01,Water,1800,BBL,2552,3050,Hawk
"=""35037238100000""",Hawk,1,"Earnhardt William R Company",OK,Creek,2014-06-01,Water,1800,BBL,2552,3050,Hawk
"=""35037238100000""",Hawk,1,"Earnhardt William R Company",OK,Creek,2014-04-01,Water,1800,BBL,2552,3050,Hawk
