"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"INJECTION DATE","INJECTED FLUID","INJECTED VOLUME","INJECTED VOLUME UNITS","TOP OF INJECTION INTERVAL, FEET","BOTTOM OF INJECTION INTERVAL, FEET","INJECTION UNIT NAME"
"=""35037003990000""",Wiley,3,"Topsail Secondary Recovery Llc",OK,Creek,2016-09-01,Water,0,BBL,2360,2383,Wiley
"=""35037003990000""",Wiley,3,"Topsail Secondary Recovery Llc",OK,Creek,2016-08-01,Water,0,BBL,2360,2383,Wiley
"=""35037003990000""",Wiley,3,"Topsail Secondary Recovery Llc",OK,Creek,2016-01-01,Water,0,BBL,2360,2383,Wiley
"=""35037281500000""",Mussellem,32,"Berexco Llc",OK,Creek,2016-12-01,Water,285291,BBL,2789,3300,Mussellem
"=""35037281500000""",Mussellem,32,"Berexco Llc",OK,Creek,2016-04-01,Water,264360,BBL,2789,3300,Mussellem
"=""35037281610000""","Shelton Ponder Dutcher Sand U.",2725-w,"Holloway David A",OK,Creek,2016-12-01,Water,10850,BBL,2500,2534,"Shelton Ponder Dutcher Sand U."
"=""35037281650000""","Polecat Creek R.f.(babie Crow)",3413w,"Holloway David A",OK,Creek,2016-05-01,Water,0,BBL,2000,2030,"Polecat Creek R.f.(babie Crow)"
"=""35037280880000""","Jackson A",1,"Eagle River Energy Corporation",OK,Creek,2016-12-01,Water,1935,BBL,2140,2153,"Jackson A"
"=""35037280880000""","Jackson A",1,"Eagle River Energy Corporation",OK,Creek,2016-10-01,Water,1955,BBL,2140,2153,"Jackson A"
"=""35037280880000""","Jackson A",1,"Eagle River Energy Corporation",OK,Creek,2016-05-01,Water,1955,BBL,2140,2153,"Jackson A"
"=""35037281090000""","Depew Storage W.i.w.",6,"Oneok Gas Storage Llc",OK,Creek,2016-10-01,Water,17577,BBL,3298,3390,"Depew Storage W.i.w."
"=""35037281090000""","Depew Storage W.i.w.",6,"Oneok Gas Storage Llc",OK,Creek,2016-02-01,Water,14167,BBL,3298,3390,"Depew Storage W.i.w."
"=""35037282700000""","Lost Indian",1a,"Eig Petroleum Llc",OK,Creek,2016-04-01,Other,0,,1252,1302,"Lost Indian"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-12-01,Water,7500,BBL,2954,2964,"Columbus Swampter"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-07-01,Water,7500,BBL,2954,2964,"Columbus Swampter"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-04-01,Water,7500,BBL,2954,2964,"Columbus Swampter"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-02-01,Water,7000,BBL,2954,2964,"Columbus Swampter"
"=""35037273130000""","Lussie Heneha",5-a,"Xanadu Exploration Company",OK,Creek,2016-10-01,Water,22,BBL,2320,2340,"Lussie Heneha"
"=""35037273390000""",Richardson,1,"Proven Reserves Management Inc",OK,Creek,2016-12-01,Water,0,BBL,4057,4117,Richardson
"=""35037273390000""",Richardson,1,"Proven Reserves Management Inc",OK,Creek,2016-08-01,Water,0,BBL,4057,4117,Richardson
"=""35037273390000""",Richardson,1,"Proven Reserves Management Inc",OK,Creek,2016-06-01,Water,0,BBL,4057,4117,Richardson
"=""35037273390000""",Richardson,1,"Proven Reserves Management Inc",OK,Creek,2016-05-01,Water,0,BBL,4057,4117,Richardson
"=""35037273390000""",Richardson,1,"Proven Reserves Management Inc",OK,Creek,2016-01-01,Water,0,BBL,4057,4117,Richardson
"=""35037271970000""","Nkrfsu Bussett",4-6,"Mid-continent Energy Op Co",OK,Creek,2016-02-01,Water,53,BBL,2128,2140,"Nkrfsu Bussett"
"=""35037271520000""","Washington Holder",1-a,"Plains Oil & Gas",OK,Creek,2016-12-01,Water,400,BBL,2157,2166,"Washington Holder"
"=""35037271520000""","Washington Holder",1-a,"Plains Oil & Gas",OK,Creek,2016-09-01,Water,400,BBL,2157,2166,"Washington Holder"
"=""35037271520000""","Washington Holder",1-a,"Plains Oil & Gas",OK,Creek,2016-06-01,Water,400,BBL,2157,2166,"Washington Holder"
"=""35037271520000""","Washington Holder",1-a,"Plains Oil & Gas",OK,Creek,2016-05-01,Water,400,BBL,2157,2166,"Washington Holder"
"=""35037271520000""","Washington Holder",1-a,"Plains Oil & Gas",OK,Creek,2016-04-01,Water,400,BBL,2157,2166,"Washington Holder"
"=""35037284570000""",Mikey,21,"Yarhola Production Company",OK,Creek,2016-12-01,Water,2325,BBL,1330,1415,Mikey
"=""35037284570000""",Mikey,21,"Yarhola Production Company",OK,Creek,2016-04-01,Water,2250,BBL,1330,1415,Mikey
"=""35037284570000""",Mikey,21,"Yarhola Production Company",OK,Creek,2016-02-01,Water,2100,BBL,1330,1415,Mikey
"=""35037284580000""",Mikey,19,"Yarhola Production Company",OK,Creek,2016-03-01,Water,2325,BBL,1330,1415,Mikey
"=""35037284580000""",Mikey,19,"Yarhola Production Company",OK,Creek,2016-02-01,Water,2100,BBL,1330,1415,Mikey
"=""35037284590000""",Mikey,18,"Yarhola Production Company",OK,Creek,2016-11-01,Water,2250,BBL,1345,1405,Mikey
"=""35037284590000""",Mikey,18,"Yarhola Production Company",OK,Creek,2016-08-01,Water,2325,BBL,1345,1405,Mikey
"=""35037284650000""",Mills,5,"Eagle River Energy Corporation",OK,Creek,2016-11-01,Water,1650,BBL,2539,2552,Mills
"=""35037284650000""",Mills,5,"Eagle River Energy Corporation",OK,Creek,2016-06-01,Water,1650,BBL,2539,2552,Mills
"=""35037284650000""",Mills,5,"Eagle River Energy Corporation",OK,Creek,2016-03-01,Water,1720,BBL,2539,2552,Mills
"=""35037284650000""",Mills,5,"Eagle River Energy Corporation",OK,Creek,2016-01-01,Water,1720,BBL,2539,2552,Mills
"=""35037283770000""",Anthis,1,"Sallee Oil Corporation",OK,Creek,2016-06-01,Water,7500,BBL,2174,2245,Anthis
"=""35037283920000""",Darnell,3,"Withrow Oil Company Inc",OK,Creek,2016-05-01,Water,0,BBL,2736,2810,Darnell
"=""35037285030000""",Dar-lin,3,"Hall Greg Oil & Gas Llc",OK,Creek,2016-12-01,Water,9000,BBL,1954,1958,Dar-lin
"=""35037285030000""",Dar-lin,3,"Hall Greg Oil & Gas Llc",OK,Creek,2016-11-01,Water,8100,BBL,1954,1958,Dar-lin
"=""35037284290000""",Orcutt,17,"Falcon Oil Properties Llp",OK,Creek,2016-10-01,Water,5908,BBL,2947,2968,Orcutt
"=""35037284480000""",Dar-lin,1,"Hall Greg Oil & Gas Llc",OK,Creek,2016-12-01,Water,3660,BBL,1140,1975,Dar-lin
"=""35037284480000""",Dar-lin,1,"Hall Greg Oil & Gas Llc",OK,Creek,2016-11-01,Water,5280,BBL,1972,1975,Dar-lin
"=""35037284480000""",Dar-lin,1,"Hall Greg Oil & Gas Llc",OK,Creek,2016-11-01,Water,5280,BBL,1140,1975,Dar-lin
"=""35037284480000""",Dar-lin,1,"Hall Greg Oil & Gas Llc",OK,Creek,2016-07-01,Water,4740,BBL,1972,1975,Dar-lin
"=""35037284480000""",Dar-lin,1,"Hall Greg Oil & Gas Llc",OK,Creek,2016-01-01,Water,0,BBL,1140,1975,Dar-lin
"=""35037283160000""",Davis,2,"Eagle River Energy Corporation",OK,Creek,2016-12-01,Water,0,BBL,2348,2350,Davis
"=""35037283160000""",Davis,2,"Eagle River Energy Corporation",OK,Creek,2016-04-01,Water,0,BBL,2348,2350,Davis
"=""35037276300000""",Barnett,14,"Trojan Resources Llc",OK,Creek,2016-12-01,Water,60,BBL,1788,1808,Barnett
"=""35037276300000""",Barnett,14,"Trojan Resources Llc",OK,Creek,2016-11-01,Water,60,BBL,1788,1808,Barnett
"=""35037276300000""",Barnett,14,"Trojan Resources Llc",OK,Creek,2016-10-01,Water,60,BBL,1788,1808,Barnett
"=""35037276300000""",Barnett,14,"Trojan Resources Llc",OK,Creek,2016-08-01,Water,60,BBL,1788,1808,Barnett
"=""35037276300000""",Barnett,14,"Trojan Resources Llc",OK,Creek,2016-05-01,Water,60,BBL,1788,1808,Barnett
"=""35037255620000""",Smith-doolin,3,"D & M Production Co Inc",OK,Creek,2016-10-01,Water,1200,BBL,2584,2590,Smith-doolin
"=""35037255620000""",Smith-doolin,3,"D & M Production Co Inc",OK,Creek,2016-08-01,Water,1200,BBL,2584,2590,Smith-doolin
"=""35037255620000""",Smith-doolin,3,"D & M Production Co Inc",OK,Creek,2016-07-01,Water,1200,BBL,2584,2590,Smith-doolin
"=""35037255640000""",Yocham,1,"Holloway David A",OK,Creek,2016-10-01,Water,0,BBL,1890,1928,Yocham
"=""35037255640000""",Yocham,1,"Holloway David A",OK,Creek,2016-08-01,Water,0,BBL,1890,1928,Yocham
"=""35037255640000""",Yocham,1,"Holloway David A",OK,Creek,2016-05-01,Water,0,BBL,1890,1928,Yocham
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2016-12-01,Water,0,BBL,2116,2228,Tuttle
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2016-11-01,Water,0,BBL,2116,2228,Tuttle
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2016-06-01,Water,0,BBL,2116,2228,Tuttle
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2016-04-01,Water,0,BBL,2116,2228,Tuttle
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2016-03-01,Water,0,BBL,2116,2228,Tuttle
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2016-02-01,Water,0,BBL,2116,2228,Tuttle
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2016-11-01,Water,0,BBL,3154,3166,Sinker
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2016-03-01,Water,0,BBL,3154,3166,Sinker
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2016-01-01,Water,0,BBL,3154,3166,Sinker
"=""35037256910000""",Grace,9,"Holloway David A",OK,Creek,2016-05-01,Water,0,BBL,1904,1924,Grace
"=""35037257120000""",Wolf,1,"Williford Energy Company",OK,Creek,2016-11-01,Water,0,BBL,2570,2563,Wolf
"=""35037257120000""",Wolf,1,"Williford Energy Company",OK,Creek,2016-10-01,Water,0,BBL,2570,2563,Wolf
"=""35037257120000""",Wolf,1,"Williford Energy Company",OK,Creek,2016-05-01,Water,0,BBL,2570,2563,Wolf
"=""35037257120000""",Wolf,1,"Williford Energy Company",OK,Creek,2016-01-01,Water,0,BBL,2570,2563,Wolf
"=""35037258130000""",Holt,3,"Krumme Oil Company Llp",OK,Creek,2016-04-01,Water,3150,BBL,2330,2346,Holt
"=""35037258200000""",Odell,3,"Nbi Services Inc",OK,Creek,2016-10-01,Water,0,BBL,3175,3182,Odell
"=""35037258200000""",Odell,3,"Nbi Services Inc",OK,Creek,2016-09-01,Water,0,BBL,3175,3182,Odell
"=""35037258200000""",Odell,3,"Nbi Services Inc",OK,Creek,2016-02-01,Water,0,BBL,3175,3182,Odell
"=""35037258260000""","Creek County",1,"Holloway David A",OK,Creek,2016-02-01,Water,0,BBL,1901,1924,"Creek County"
"=""35037269190000""",Naifeh,85-1,"Dyer Dale E Dba The Loving Company",OK,Creek,2016-10-01,Water,600,BBL,1878,1892,Naifeh
"=""35037269190000""",Naifeh,85-1,"Dyer Dale E Dba The Loving Company",OK,Creek,2016-09-01,Water,600,BBL,1878,1892,Naifeh
"=""35037269190000""",Naifeh,85-1,"Dyer Dale E Dba The Loving Company",OK,Creek,2016-08-01,Water,600,BBL,1878,1892,Naifeh
"=""35037269190000""",Naifeh,85-1,"Dyer Dale E Dba The Loving Company",OK,Creek,2016-05-01,Water,600,BBL,1878,1892,Naifeh
"=""35037268810000""",Rushing,1,"Hinson Bobbie L",OK,Creek,2016-08-01,Water,380,BBL,3134,3140,Rushing
"=""35037268810000""",Rushing,1,"Hinson Bobbie L",OK,Creek,2016-05-01,Water,380,BBL,3134,3140,Rushing
"=""35037268810000""",Rushing,1,"Hinson Bobbie L",OK,Creek,2016-01-01,Water,380,BBL,3134,3140,Rushing
"=""35037269030000""",Beavers,2,"Mickalson Operating Company",OK,Creek,2016-04-01,Water,600,BBL,2986,3026,Beavers
"=""35037254150000""",Boone,3,"Baber Oil Company Llc",OK,Creek,2016-10-01,Water,450,BBL,2623,2635,Boone
"=""35037254150000""",Boone,3,"Baber Oil Company Llc",OK,Creek,2016-09-01,Water,450,BBL,2623,2635,Boone
"=""35037254150000""",Boone,3,"Baber Oil Company Llc",OK,Creek,2016-05-01,Water,465,BBL,2623,2635,Boone
"=""35037254150000""",Boone,3,"Baber Oil Company Llc",OK,Creek,2016-03-01,Water,465,BBL,2623,2635,Boone
"=""35037253610000""",Bourell-shelton,1,"Denham Danny D",OK,Creek,2016-05-01,Water,0,BBL,1890,2516,Bourell-shelton
"=""35037253610000""",Bourell-shelton,1,"Denham Danny D",OK,Creek,2016-01-01,Water,0,BBL,1890,2516,Bourell-shelton
"=""35037255260000""","Pcrfsu (gray 2)",2711,"Holloway David A",OK,Creek,2016-02-01,Water,0,BBL,1964,1970,"Pcrfsu (gray 2)"
"=""35037264220000""",Kyser,4,"Cardinal Oil Llc",OK,Creek,2016-09-01,Water,3000,BBL,2523,2532,Kyser
"=""35037264220000""",Kyser,4,"Cardinal Oil Llc",OK,Creek,2016-07-01,Water,0,BBL,2523,2532,Kyser
"=""35037264220000""",Kyser,4,"Cardinal Oil Llc",OK,Creek,2016-04-01,Water,4200,BBL,2523,2532,Kyser
"=""35037264650000""","Texaco-kerr Mcgee B",1,"Rover Operating Llc",OK,Creek,2016-12-01,Water,0,BBL,2840,2920,"Texaco-kerr Mcgee B"
"=""35037264650000""","Texaco-kerr Mcgee B",1,"Rover Operating Llc",OK,Creek,2016-05-01,Water,0,BBL,2840,2920,"Texaco-kerr Mcgee B"
"=""35037264650000""","Texaco-kerr Mcgee B",1,"Rover Operating Llc",OK,Creek,2016-04-01,Water,0,BBL,2840,2920,"Texaco-kerr Mcgee B"
"=""35037263070000""",Gullen-kernal,1,"Tidewater Operating Co Inc",OK,Creek,2016-09-01,Water,22130,BBL,3386,3499,Gullen-kernal
"=""35037263140000""",Garrett,1,"Inland Oil Corporation",OK,Creek,2016-05-01,Water,1230,BBL,1880,1950,Garrett
"=""35037263140000""",Garrett,1,"Inland Oil Corporation",OK,Creek,2016-04-01,Water,2870,BBL,1880,1950,Garrett
"=""35037263230000""",Beam,8,"Cardinal Oil Llc",OK,Creek,2016-09-01,Water,0,BBL,810,823,Beam
"=""35037259410000""",Corbin,9,"Holloway David A",OK,Creek,2016-03-01,Water,0,BBL,1926,1938,Corbin
"=""35037259490000""",Greemore,2,"Holloway David A",OK,Creek,2016-11-01,Water,0,BBL,1916,1954,Greemore
"=""35037259490000""",Greemore,2,"Holloway David A",OK,Creek,2016-10-01,Water,0,BBL,1916,1954,Greemore
"=""35037259490000""",Greemore,2,"Holloway David A",OK,Creek,2016-08-01,Water,0,BBL,1916,1954,Greemore
"=""35037259490000""",Greemore,2,"Holloway David A",OK,Creek,2016-07-01,Water,0,BBL,1916,1954,Greemore
"=""35037259490000""",Greemore,2,"Holloway David A",OK,Creek,2016-01-01,Water,0,BBL,1916,1954,Greemore
"=""35037259800000""","Day South",1,"Nbi Services Inc",OK,Creek,2016-10-01,Water,0,BBL,3166,3174,"Day South"
"=""35037259800000""","Day South",1,"Nbi Services Inc",OK,Creek,2016-01-01,Water,0,BBL,3166,3174,"Day South"
"=""35037261850000""",Polar,2,"Spess Oil Company Inc",OK,Creek,2016-07-01,Water,0,BBL,2926,2938,Polar
"=""35037261850000""",Polar,2,"Spess Oil Company Inc",OK,Creek,2016-02-01,Water,0,BBL,2926,2938,Polar
"=""35037276720000""",Jackson,1,"Vanorsdol Paul & Lisa",OK,Creek,2016-10-01,Water,80,BBL,2790,2828,Jackson
"=""35037276720000""",Jackson,1,"Vanorsdol Paul & Lisa",OK,Creek,2016-09-01,Water,80,BBL,2790,2828,Jackson
"=""35037275540000""",Keywest,1a,"E O K Operating Llc",OK,Creek,2016-12-01,Water,0,BBL,4090,4110,Keywest
"=""35037275540000""",Keywest,1a,"E O K Operating Llc",OK,Creek,2016-05-01,Water,63000,BBL,4090,4110,Keywest
"=""35037275540000""",Keywest,1a,"E O K Operating Llc",OK,Creek,2016-03-01,Water,63000,BBL,4090,4110,Keywest
"=""35037275540000""",Keywest,1a,"E O K Operating Llc",OK,Creek,2016-01-01,Water,63000,BBL,4090,4110,Keywest
"=""35037274370000""",Felton,11,"Shipman James E",OK,Creek,2016-04-01,Water,225,BBL,2430,2447,Felton
"=""35037274370000""",Felton,11,"Shipman James E",OK,Creek,2016-02-01,Water,200,BBL,2430,2447,Felton
"=""35037275460000""",Allen,4,"Denham Operating Company",OK,Creek,2016-08-01,Water,2635,BBL,2076,2082,Allen
"=""35037275460000""",Allen,4,"Denham Operating Company",OK,Creek,2016-05-01,Water,2635,BBL,2076,2082,Allen
"=""35037275520000""","Nkrfsu Watashe",1-1,"Mid-continent Energy Op Co",OK,Creek,2016-12-01,Water,299,BBL,2185,2197,"Nkrfsu Watashe"
"=""35037275520000""","Nkrfsu Watashe",1-1,"Mid-continent Energy Op Co",OK,Creek,2016-09-01,Water,417,BBL,2185,2197,"Nkrfsu Watashe"
"=""35037275520000""","Nkrfsu Watashe",1-1,"Mid-continent Energy Op Co",OK,Creek,2016-03-01,Water,376,BBL,2185,2197,"Nkrfsu Watashe"
"=""35037274020000""","Bristow City Dump",2,"Hinson Bobbie L",OK,Creek,2016-12-01,Water,80,BBL,3097,3102,"Bristow City Dump"
"=""35037281810000""",Ellison,1,"Edge Oil Company Inc",OK,Creek,2016-08-01,Water,0,BBL,2670,2720,Ellison
"=""35037281820000""",Bennett,1,"Edge Oil Company Inc",OK,Creek,2016-12-01,Water,0,BBL,2670,2705,Bennett
"=""35037281820000""",Bennett,1,"Edge Oil Company Inc",OK,Creek,2016-08-01,Water,0,BBL,2670,2705,Bennett
"=""35037281820000""",Bennett,1,"Edge Oil Company Inc",OK,Creek,2016-07-01,Water,0,BBL,2670,2705,Bennett
"=""35037280280000""","L. Jackson",W-1,"Petco Petroleum Corp",OK,Creek,2016-06-01,Water,13470,BBL,1500,1650,"L. Jackson"
"=""35037280280000""","L. Jackson",W-1,"Petco Petroleum Corp",OK,Creek,2016-05-01,Water,15180,BBL,1500,1650,"L. Jackson"
"=""35037280310000""","L. Jackson",W-2,"Petco Petroleum Corp",OK,Creek,2016-10-01,Water,2740,BBL,1500,1650,"L. Jackson"
"=""35037280310000""","L. Jackson",W-2,"Petco Petroleum Corp",OK,Creek,2016-08-01,Water,3400,BBL,1500,1650,"L. Jackson"
"=""35037280310000""","L. Jackson",W-2,"Petco Petroleum Corp",OK,Creek,2016-03-01,Water,1500,BBL,1500,1650,"L. Jackson"
"=""35037281130000""","Depew Storage W.i.w.",5,"Oneok Gas Storage Llc",OK,Creek,2016-10-01,Water,13749,BBL,3314,3357,"Depew Storage W.i.w."
"=""35037281130000""","Depew Storage W.i.w.",5,"Oneok Gas Storage Llc",OK,Creek,2016-08-01,Water,12162,BBL,3314,3357,"Depew Storage W.i.w."
"=""35037281140000""","Depew Storage W.i.w.",7,"Oneok Gas Storage Llc",OK,Creek,2016-09-01,Water,0,BBL,3294,3324,"Depew Storage W.i.w."
"=""35037281140000""","Depew Storage W.i.w.",7,"Oneok Gas Storage Llc",OK,Creek,2016-03-01,Water,0,BBL,3294,3324,"Depew Storage W.i.w."
"=""35037280610000""",Francis,1,"Keener Oil & Gas Company",OK,Creek,2016-12-01,Water,34156,BBL,3258,3362,Francis
"=""35037280610000""",Francis,1,"Keener Oil & Gas Company",OK,Creek,2016-06-01,Water,33054,BBL,3258,3362,Francis
"=""35037280100000""",Hemenway,2,"Holloway David A",OK,Creek,2016-04-01,Water,0,BBL,1876,1892,Hemenway
"=""35037280200000""",Paullus,6-a,"Trojan Resources Llc",OK,Creek,2016-09-01,Water,39500,BBL,2161,2190,Paullus
"=""35037279050000""",Barker,14,"Holloway David A",OK,Creek,2016-12-01,Water,0,BBL,1996,2012,Barker
"=""35037279050000""",Barker,14,"Holloway David A",OK,Creek,2016-11-01,Water,0,BBL,1996,2012,Barker
"=""35037279050000""",Barker,14,"Holloway David A",OK,Creek,2016-10-01,Water,0,BBL,1996,2012,Barker
"=""35037279050000""",Barker,14,"Holloway David A",OK,Creek,2016-06-01,Water,0,BBL,1996,2012,Barker
"=""35037279050000""",Barker,14,"Holloway David A",OK,Creek,2016-02-01,Water,0,BBL,1996,2012,Barker
"=""35037276980000""","Martin Robison",1,"Luke Oil Company",OK,Creek,2016-08-01,Water,600,BBL,1290,1311,"Martin Robison"
"=""35037276980000""","Martin Robison",1,"Luke Oil Company",OK,Creek,2016-05-01,Water,600,BBL,1290,1311,"Martin Robison"
"=""35037277230000""",Estate,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-12-01,Water,1980,BBL,2033,2047,Estate
"=""35037277230000""",Estate,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-07-01,Water,1990,BBL,2033,2047,Estate
"=""35037277230000""",Estate,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-06-01,Water,1975,BBL,2033,2047,Estate
"=""35037277230000""",Estate,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-04-01,Water,1975,BBL,2033,2047,Estate
"=""35037277230000""",Estate,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-03-01,Water,1930,BBL,2033,2047,Estate
"=""35037279920000""","Miles Devin",3,"Dunlap Oil Company",OK,Creek,2016-08-01,Water,1470,BBL,3070,3110,"Miles Devin"
"=""35037279920000""","Miles Devin",3,"Dunlap Oil Company",OK,Creek,2016-07-01,Water,1455,BBL,3070,3110,"Miles Devin"
"=""35037279920000""","Miles Devin",3,"Dunlap Oil Company",OK,Creek,2016-05-01,Water,1432,BBL,3070,3110,"Miles Devin"
"=""35037279920000""","Miles Devin",3,"Dunlap Oil Company",OK,Creek,2016-03-01,Water,1441,BBL,3070,3110,"Miles Devin"
"=""35037280010000""",Speakman,2,"Holloway David A",OK,Creek,2016-08-01,Water,0,BBL,2068,2075,Speakman
"=""35037280010000""",Speakman,2,"Holloway David A",OK,Creek,2016-04-01,Water,0,BBL,2068,2075,Speakman
"=""35037280010000""",Speakman,2,"Holloway David A",OK,Creek,2016-02-01,Water,0,BBL,2068,2075,Speakman
"=""35037278930000""",Gouge,33,"Holloway David A",OK,Creek,2016-09-01,Water,0,BBL,2482,2484,Gouge
"=""35037278930000""",Gouge,33,"Holloway David A",OK,Creek,2016-02-01,Water,0,BBL,2482,2484,Gouge
"=""35037268480000""",Morrow,2,"Redland Resources Llc",OK,Creek,2016-11-01,Water,0,BBL,3115,3150,Morrow
"=""35037268480000""",Morrow,2,"Redland Resources Llc",OK,Creek,2016-10-01,Water,0,BBL,3115,3150,Morrow
"=""35037268480000""",Morrow,2,"Redland Resources Llc",OK,Creek,2016-03-01,Water,0,BBL,3115,3150,Morrow
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2016-06-01,Water,4500,BBL,2148,2154,Guiterrez
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2016-04-01,Water,4500,BBL,2914,2915,Guiterrez
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2016-04-01,Water,4500,BBL,2148,2154,Guiterrez
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2016-03-01,Water,4650,BBL,2148,2154,Guiterrez
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2016-01-01,Water,4650,BBL,2914,2915,Guiterrez
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2016-09-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2016-08-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2016-05-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2016-04-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2016-01-01,Water,0,BBL,2066,2110,Annaco
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2016-08-01,Water,0,BBL,2750,2850,Dowdy
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2016-04-01,Water,0,BBL,2750,2850,Dowdy
"=""35037265900000""",Dowdy,1,"Withrow Oil Company Inc",OK,Creek,2016-01-01,Water,0,BBL,2750,2850,Dowdy
"=""35037257510000""",Curtis,3,"Advance Oil Corporation",OK,Creek,2016-12-01,Water,52359,BBL,4048,4189,Curtis
"=""35037231610000""","Shelton Ponder Dutcher Sand U",3511-w,"Holloway David A",OK,Creek,2016-12-01,Water,0,BBL,2504,2524,"Shelton Ponder Dutcher Sand U"
"=""35037231610000""","Shelton Ponder Dutcher Sand U",3511-w,"Holloway David A",OK,Creek,2016-03-01,Water,0,BBL,2504,2524,"Shelton Ponder Dutcher Sand U"
"=""35037231610000""","Shelton Ponder Dutcher Sand U",3511-w,"Holloway David A",OK,Creek,2016-01-01,Water,0,BBL,2504,2524,"Shelton Ponder Dutcher Sand U"
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-09-01,Water,4500,BBL,2370,2410,"Wortman ""a"""
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-04-01,Water,4500,BBL,2370,2410,"Wortman ""a"""
"=""35037231690000""","Wortman ""a""",1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2016-01-01,Water,4650,BBL,2370,2410,"Wortman ""a"""
"=""35037234910000""","Kdsu (kdsu #9 Cornelius #1)",W-4,"Cornelius Oil Inc",OK,Creek,2016-08-01,Water,0,BBL,2666,2684,"Kdsu (kdsu #9 Cornelius #1)"
"=""35037234910000""","Kdsu (kdsu #9 Cornelius #1)",W-4,"Cornelius Oil Inc",OK,Creek,2016-05-01,Water,0,BBL,2666,2684,"Kdsu (kdsu #9 Cornelius #1)"
"=""35037234910000""","Kdsu (kdsu #9 Cornelius #1)",W-4,"Cornelius Oil Inc",OK,Creek,2016-02-01,Water,0,BBL,2666,2684,"Kdsu (kdsu #9 Cornelius #1)"
"=""35037234980000""",Willis,1,"Spess Oil Company Inc",OK,Creek,2016-01-01,Water,2041,BBL,2646,2664,Willis
"=""35037235090000""",Fife,1,"Spess Oil Company Inc",OK,Creek,2016-08-01,Water,0,BBL,2584,2592,Fife
"=""35037235090000""",Fife,1,"Spess Oil Company Inc",OK,Creek,2016-07-01,Water,0,BBL,2584,2592,Fife
"=""35037235090000""",Fife,1,"Spess Oil Company Inc",OK,Creek,2016-04-01,Water,0,BBL,2584,2592,Fife
"=""35037235870000""",Lindsey,6,"Wildhorse Operating Company",OK,Creek,2016-05-01,Water,0,BBL,3771,3831,Lindsey
"=""35037235870000""",Lindsey,6,"Wildhorse Operating Company",OK,Creek,2016-02-01,Water,0,BBL,3771,3831,Lindsey
"=""35037235960000""","Way, Vida M.",27,"Berexco Llc",OK,Creek,2016-12-01,Water,289255,BBL,2550,3000,"Way, Vida M."
"=""35037235960000""","Way, Vida M.",27,"Berexco Llc",OK,Creek,2016-12-01,Water,289255,BBL,2550,3000,"Way, Vida M."
